task,rho,n_training_seeds,clean_eval_score_mean,clean_eval_score_pstdev,obs_sigma_008_score_mean,obs_sigma_008_score_pstdev,recovery_label_rate,atr_normalized_q90_mean,atr_normalized_q90_pstdev,smpr_delta010_mean,smpr_delta010_pstdev,proxy_gap_q50q90_mean,proxy_gap_q50q90_pstdev,proxy_gap_positive_rate,top1_agree_mean,top1_agree_pstdev,cert_pass_rate_mean,notes
TwoRoom,0.00,3,94.66666666666667,0.72008250556092,68.77777788888889,2.4545248012599146,0.0,1.0,0.0,0.11475409070650737,0.023183825839746135,-266.5171432495117,16.944883959830126,0.0,0.20666666825612387,0.0385861136723444,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.01,3,94.88888888888889,1.0999437134870003,93.44444466666667,2.078698518512057,0.6666666666666666,0.6628096896917266,0.08863076502876152,0.6393442253271738,0.22034801790358519,-70.28016408284505,33.593062808955494,0.0,0.5100000003973643,0.04546061256189082,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.02,3,95.77777766666667,1.0999437247108985,95.44444444444444,1.5713486383390423,1.0,0.28973874703867464,0.015017516238222188,0.9672130346298218,0.0,34.927605946858726,6.346174547993232,1.0,0.763333335518837,0.01699672719206236,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.03,3,95.11111111111111,0.8748898061125053,95.111111,1.3425607281020855,1.0,0.20002728902698538,0.01013316983433176,0.9672130346298218,0.0,55.666395823160805,14.082061907000242,1.0,0.8499999990065893,0.01414213618568893,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.04,3,95.88888877777778,0.41573985812002,95.88888888888889,0.5665577891046413,1.0,0.1288784750256471,0.005206688223968959,0.9836065173149109,0.0,60.2847703297933,4.092402816895705,1.0,0.9066666687528292,0.026246690907376382,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.05,3,96.111111,1.498970972136776,95.88888877777778,1.547598809147288,1.0,0.09275233481726126,0.011679909802999329,0.989070991675059,0.007727933751361501,67.59381357828777,4.4603404970696765,1.0,0.940000000099341,0.008164965626776101,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.06,3,96.00000022222223,1.6996731276162385,95.77777777777777,1.5475984342135751,1.0,0.06806496503470354,0.008935142867902904,0.989070991675059,0.007727933751361501,65.3524211247762,6.903688676541104,1.0,0.9466666666169962,0.004714044224483851,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.07,3,96.44444433333334,0.6285392039198668,96.44444455555556,0.3142697590948061,1.0,0.06843052957563378,0.002378992677050191,0.9836065173149109,0.0,57.50000445048014,4.501008424235315,1.0,0.9366666662196318,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.08,3,97.22222211111111,0.8314795380658779,97.11111088888889,0.5665578326859542,1.0,0.07009092243011944,0.019562794459322,0.9781420230865479,0.007727961849260508,53.45847415924072,2.21286946685463,1.0,0.960000000273188,0.008164966387197763,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.00,3,81.77777777777777,4.886362983843559,7.222222111111111,5.8139889347446605,0.0,1.0,0.0,0.27551019688447315,0.10926787087222167,-198.43529764811197,86.87910520247108,0.0,0.10999999443689983,0.08286537430580108,,cert_pass_rate unavailable without sample-level max-cost-drift traces
