training_seed,task,std_key,candidate_count,sharp_cert_pass_rate,sharp_cert_pass_n,sharp_cert_pass_lower95_wilson,flip_risk_upper95_from_coverage,observed_flip_rate,flip_when_sharp_cert_fail_rate,risk_coverage_aurc
3072,TwoRoom,0.0,8,0.25999999046325684,26,0.1948498082170816,0.8051501917829185,0.5899999737739563,0.7972972989082336,0.27601111111111115
3072,TwoRoom,0.0,16,0.2199999988079071,22,0.15973857793173502,0.8402614220682649,0.6499999761581421,0.8333333134651184,0.32382222222222223
3072,TwoRoom,0.0,32,0.15000000596046448,15,0.10053686766030076,0.8994631323396992,0.75,0.8823529481887817,0.4261111111111111
3072,TwoRoom,0.0,65,0.12999999523162842,13,0.08429987745807718,0.9157001225419228,0.8100000023841858,0.931034505367279,0.5150444444444444
3072,TwoRoom,0.01,8,0.800000011920929,80,0.7266961911903833,0.2733038088096167,0.12999999523162842,0.6499999761581421,0.013166666666666663
3072,TwoRoom,0.01,16,0.6600000262260437,66,0.5787847011659328,0.42121529883406716,0.20000000298023224,0.5882353186607361,0.032855555555555555
3072,TwoRoom,0.01,32,0.5799999833106995,58,0.4977581453455874,0.5022418546544126,0.25,0.5952380895614624,0.05104444444444445
3072,TwoRoom,0.01,65,0.5099999904632568,51,0.4286001733304649,0.571399826669535,0.3199999928474426,0.6530612111091614,0.08035555555555556
3072,TwoRoom,0.02,8,0.8600000143051147,86,0.793406218062001,0.20659378193799904,0.05999999865889549,0.4285714328289032,0.004555555555555556
3072,TwoRoom,0.02,16,0.8100000023841858,81,0.7376400476715523,0.26235995232844767,0.10000000149011612,0.5263158082962036,0.00922222222222222
3072,TwoRoom,0.02,32,0.7699999809265137,77,0.6942151711258685,0.3057848288741315,0.12999999523162842,0.5652173757553101,0.014166666666666664
3072,TwoRoom,0.02,65,0.7300000190734863,73,0.651630320012513,0.348369679987487,0.14000000059604645,0.5185185074806213,0.019244444444444446
3072,TwoRoom,0.03,8,0.949999988079071,95,0.9008389147209472,0.09916108527905276,0.029999999329447746,0.6000000238418579,0.0007500000000000007
3072,TwoRoom,0.03,16,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.05999999865889549,0.75,0.002399999999999999
3072,TwoRoom,0.03,32,0.8500000238418579,85,0.7820969631120788,0.21790303688792123,0.10000000149011612,0.6666666865348816,0.008333333333333333
3072,TwoRoom,0.03,65,0.7699999809265137,77,0.6942151711258685,0.3057848288741315,0.15000000596046448,0.6521739363670349,0.01772222222222222
3072,TwoRoom,0.04,8,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.019999999552965164,0.5,0.00040000000000000034
3072,TwoRoom,0.04,16,0.9399999976158142,94,0.8881590347735402,0.11184096522645981,0.019999999552965164,0.3333333432674408,0.0006000000000000006
3072,TwoRoom,0.04,32,0.8899999856948853,89,0.8279141735549224,0.17208582644507764,0.03999999910593033,0.3636363744735718,0.0019999999999999996
3072,TwoRoom,0.04,65,0.8299999833106995,83,0.7597233990511757,0.2402766009488243,0.07000000029802322,0.4117647111415863,0.005388888888888889
3072,TwoRoom,0.05,8,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.019999999552965164,0.5,0.00040000000000000034
3072,TwoRoom,0.05,16,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.019999999552965164,0.5,0.00040000000000000034
3072,TwoRoom,0.05,32,0.9300000071525574,93,0.8757398869332069,0.12426011306679308,0.019999999552965164,0.2857142984867096,0.0006999999999999996
3072,TwoRoom,0.05,65,0.8700000047683716,87,0.8048062640785283,0.1951937359214717,0.07000000029802322,0.5384615659713745,0.004222222222222222
3072,TwoRoom,0.06,8,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.009999999776482582,0.3333333432674408,0.00015000000000000015
3072,TwoRoom,0.06,16,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.0,0.0,0.0
3072,TwoRoom,0.06,32,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.0,0.0,0.0
3072,TwoRoom,0.06,65,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.029999999329447746,0.375,0.0011999999999999995
3072,TwoRoom,0.07,8,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.009999999776482582,0.25,0.00020000000000000017
3072,TwoRoom,0.07,16,0.9399999976158142,94,0.8881590347735402,0.11184096522645981,0.009999999776482582,0.1666666716337204,0.0003000000000000003
3072,TwoRoom,0.07,32,0.9300000071525574,93,0.8757398869332069,0.12426011306679308,0.019999999552965164,0.2857142984867096,0.0006999999999999996
3072,TwoRoom,0.07,65,0.8600000143051147,86,0.793406218062001,0.20659378193799904,0.07000000029802322,0.5,0.004277777777777778
3072,TwoRoom,0.08,8,0.9900000095367432,99,0.956418226465944,0.04358177353405601,0.0,0.0,0.0
3072,TwoRoom,0.08,16,0.9800000190734863,98,0.9413516316431647,0.05864836835683529,0.009999999776482582,0.5,0.00010000000000000009
3072,TwoRoom,0.08,32,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.009999999776482582,0.3333333432674408,0.00015000000000000015
3072,TwoRoom,0.08,65,0.8999999761581421,90,0.8396444903889078,0.16035550961109224,0.03999999910593033,0.4000000059604645,0.0019999999999999996
3073,TwoRoom,0.0,8,0.23999999463558197,24,0.17719408215004157,0.8228059178499585,0.5,0.6578947305679321,0.2178888888888889
3073,TwoRoom,0.0,16,0.1899999976158142,19,0.13397253455712033,0.8660274654428797,0.6399999856948853,0.790123462677002,0.33512222222222215
3073,TwoRoom,0.0,32,0.1599999964237213,16,0.10878443008429016,0.8912155699157098,0.7300000190734863,0.8690476417541504,0.4092
3073,TwoRoom,0.0,65,0.11999999731779099,12,0.0763260081195623,0.9236739918804378,0.7699999809265137,0.875,0.4558222222222222
3073,TwoRoom,0.01,8,0.6899999976158142,69,0.6097635121266138,0.39023648787338616,0.20999999344348907,0.6774193644523621,0.028577777777777775
3073,TwoRoom,0.01,16,0.6299999952316284,63,0.5481393845496871,0.45186061545031286,0.27000001072883606,0.7297297120094299,0.0493
3073,TwoRoom,0.01,32,0.47999998927116394,48,0.39943788671317254,0.6005621132868275,0.3700000047683716,0.7115384340286255,0.10008888888888888
