atr_horizon_v2,atr_q90_source,atr_quantile,checkpoint_type,clean_success,clean_transition_scale_q50,horizon,model_family,model_file,model_search_dirs,n_sequences,noise_draw_aggregation,num_noise_draws,pixels_std0.08_success,radius_metric,raw_horizon_radius_quantile,recovery_label,run_path,status,std_key,stress_sigma,subdir,task,training_seed
1.7749521732330322,1.5144974763039856,0.9,base,94.0,13.414094924926758,8,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430/tworoom_lewm_20260430_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430'],16,per_anchor_mean_then_checkpoint_quantile,5,65.66666666666667,horizon_weighted_stacked_l2_v2,18.986373901367188,false,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430,ok,0.00,0.08,tworoom_lewm_20260430,TwoRoom,3072
1.8595482110977173,1.5144974763039856,0.95,base,94.0,13.414094924926758,8,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430/tworoom_lewm_20260430_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430'],16,per_anchor_mean_then_checkpoint_quantile,5,65.66666666666667,horizon_weighted_stacked_l2_v2,19.44253921508789,false,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430,ok,0.00,0.08,tworoom_lewm_20260430,TwoRoom,3072
0.9745567440986633,1.0454658513469122,0.8,onset,93.66666666666667,14.554559707641602,1,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,8.296873092651367,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
1.2393386363983154,1.0454658513469122,0.9,onset,93.66666666666667,14.554559707641602,1,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,9.986257553100586,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
1.4192521572113037,1.0454658513469122,0.95,onset,93.66666666666667,14.554559707641602,1,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,10.313749313354492,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
0.6760426163673401,1.0454658513469122,0.8,onset,93.66666666666667,13.741155624389648,2,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,8.27178955078125,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
0.8209947943687439,1.0454658513469122,0.9,onset,93.66666666666667,13.741155624389648,2,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,9.293713569641113,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
1.0724854469299316,1.0454658513469122,0.95,onset,93.66666666666667,13.741155624389648,2,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,10.170511245727539,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
0.9532826542854309,1.0454658513469122,0.8,onset,93.66666666666667,13.410724639892578,4,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,8.431467056274414,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
1.0453689098358154,1.0454658513469122,0.9,onset,93.66666666666667,13.410724639892578,4,LeWM,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],16,per_anchor_mean_then_checkpoint_quantile,5,94.0,horizon_weighted_stacked_l2_v2,8.975826263427734,true,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,ok,0.01,0.08,tworoom_lewm_noise_0to001_p1,TwoRoom,3072
