all_sigma_measured_to_jvp_ratio_median,all_sigma_relative_error_mean,checkpoint_type,jvp_gaussian_trace_per_sequence_median,jvp_trace_vs_base,n_training_seeds,remainder_loglog_order_median_descriptive,smallest_sigma,smallest_sigma_measured_to_jvp_ratio_median,task
0.9479113849776382,0.3517497713020749,base,44696.651123046875,1.0,3,2.4305016177951018,0.0025,0.941673738285445,TwoRoom
0.9101501626171488,0.10547727365169847,onset,6147.2606201171875,0.1375329127722386,3,1.8406951753430576,0.0025,0.8974814290370764,TwoRoom
1.035307725790119,0.45762099154960767,endpoint,121.13218402862549,0.0027100952976355373,3,1.0923015494566022,0.0025,1.9272778531223744,TwoRoom
0.8372822856406994,0.2976720961475648,base,14015.100402832031,1.0,3,1.7185633185814262,0.0025,0.8532709309945996,PushT
1.115722469300873,0.16183412529312044,onset,358.354549407959,0.02556917461223084,3,1.7832448175607274,0.0025,1.211581365326765,PushT
0.8976525568195868,0.13423197067587295,endpoint,121.90359592437744,0.00869801802488296,3,2.3241367027523,0.0025,1.222106093568337,PushT
3.0412096865561518,5.228152775134774,base,2644.8324432373047,1.0,3,4.056809854667402,0.0025,1.3456846658721286,Reacher
1.0314155656865083,0.17293747220234612,onset,49.15258741378784,0.018584386144940252,3,1.8572885048316967,0.0025,1.2164676425286578,Reacher
1.0756047675766154,0.16011740505780786,endpoint,17.19153642654419,0.006500047468225078,3,1.7698413950650815,0.0025,1.177183226765315,Reacher
2.272896515438394,2.8946044267799764,base,2046.346694946289,1.0,3,3.617145089960376,0.0025,1.2759946692978485,Cube
0.9774566949156476,0.03813077866642907,onset,184.6027431488037,0.09021088342689117,3,2.1404134842442413,0.0025,1.0104091812058178,Cube
1.0478599884791948,0.06963510279108974,endpoint,58.73527526855469,0.0287025045236024,3,1.6138585037724007,0.0025,1.1593611498624334,Cube
