model_family,task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90,atr_normalized_q90,smpr_delta0,recovery_label,status,history_size,n_sequences,rollout_horizon,rollout_horizon_actual,horizon_weights,horizon_weighting,rollout_vectorization,rollout_projection,rollout_normalization,embedding_space,hutchinson_probes,pixel_input_dim,latent_input_dim,latent_sequence_dim,latent_feature_dim,kappa_latent_dimension_semantics,rollout_output_dim,encoder_trace,encoder_trace_std,encoder_trace_mean_ci95_unclipped,encoder_trace_per_pixel_dim,rollout_trace,rollout_trace_std,rollout_trace_mean_ci95_unclipped,rollout_trace_per_latent_dim,composed_trace,composed_trace_std,composed_trace_mean_ci95_unclipped,composed_trace_per_pixel_dim,kappa_epsilon,kappa_submultiplicative,kappa_relative_isotropic,kappa_submultiplicative_per_probe,kappa_submultiplicative_probe_mean,kappa_submultiplicative_probe_ci95_unclipped,kappa_relative_isotropic_per_probe,kappa_relative_isotropic_probe_mean,kappa_relative_isotropic_probe_ci95_unclipped,finite_probe_interval_method,alignment_coefficient,alignment_coefficient_deprecated_alias_of,notes,runtime_dependency_setup_time,model_load_time,data_io_time,jvp_time,fixed_pool_time,wall_time_per_row,timing_unit,peak_gpu_memory,peak_gpu_memory_unit
LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,1.0,0.2950819432735443,false,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,129620.396484375,10586.168121470779,"[121778.05339214619, 137462.7395766038]",0.017939685153312422,710.1575508117676,173.04275950247472,"[581.9656806210736, 838.3494210024616]",0.0770570259127352,29365.6318359375,7144.179655392793,"[24073.14948281129, 34658.11418906371]",0.0040642538038240805,1e-12,0.00031901514034474415,2.940043533417162,"[0.0002678491576604992, 0.0003495032656896812, 0.0003223863309308523, 0.0004654308920942854, 0.00023246504637306674, 0.00042242062685765, 0.0003953859620495299, 0.0002105513949181248]",0.0003332490845717112,"[0.00026954581113344014, 0.0003969523580099823]","[2.468497836999161, 3.2210220965961023, 2.9711124258587347, 4.289411101540934, 2.142397867374183, 3.8930284971201026, 3.643877026248467, 1.9404416555654382]",3.0712235634128904,"[2.484134195405784, 3.6583129314199967]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",2.940043533417162,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,17.611245153471828,0.16010192595422268,2.063458550721407,6.333465116098523,,26.310120962560177,seconds,1857850368,bytes
LeWM,TwoRoom,3073,onset,0.01,tworoom_lewm_noise_0to001_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1_seed3073/tworoom_lewm_noise_0to001_p1_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1_seed3073'],96.333333,95.666667,1.2074334060413774,0.7957834423161281,0.6393442153930664,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,23366.1064453125,1242.8633960342165,"[22445.380356643618, 24286.832533981382]",0.00323390920145982,602.3823089599609,203.5451904054037,"[451.59392173468416, 753.1706961852377]",0.06536266373263465,5353.486267089844,1302.2463277106044,"[4388.768687006417, 6318.20384717327]",0.0007409316798051199,1e-12,0.00038034536949746434,3.5052629252886316,"[0.0005007618694905057, 0.0002793525944802374, 0.0002298687230100691, 0.0005039053667674649, 0.0003563280751092847, 0.000429475237718062, 0.0004109094393852129, 0.0005419763820707925]",0.0004065722110039537,"[0.0003292486267528837, 0.00048389579525502365]","[4.6150213892245, 2.574513510729868, 2.1184701512607966, 4.643991860128957, 3.283919540207168, 3.9580437908096595, 3.786941393374122, 4.9948543371644245]",3.746969496612437,"[3.0343553441545756, 4.459583649070298]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",3.5052629252886316,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,2.64681875705719e-06,0.091744065284729,2.0225595086812973,5.007581684738398,,7.161947902292013,seconds,2046724096,bytes
LeWM,TwoRoom,3073,endpoint,0.08,tworoom_lewm_noise_0to008_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3073/tworoom_lewm_noise_0to008_p1_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3073'],97.0,97.333333,0.1321221251210847,0.08707776264008378,0.9836065173149109,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,697.6445770263672,44.48768944055001,"[664.6876354805677, 730.6015185721667]",9.65552058180714e-05,1515.3692932128906,988.4605475752463,"[783.1074721016979, 2247.6311143240832]",0.16442809171146816,195.6872329711914,76.10855781561197,"[139.30522431650206, 252.06924162588075]",2.7083448617974645e-05,1e-12,0.00018510143557828456,1.7058948302894705,"[0.0003588294779998475, 0.00010734156322151674, 0.00012104969817611802, 0.0002968193627612315, 0.0002743054507202304, 0.0002860738004029935, 0.0003056258022880238, 6.877419560132042e-05]",0.00022735241889641024,"[0.0001511077213436396, 0.0003035971164491809]","[3.3069724692465945, 0.9892598466494982, 1.1155940183911037, 2.7354872472075096, 2.5279990338376437, 2.636456144513988, 2.816647393886427, 0.6338229866617691]",2.095279892549317,"[1.3926087599029824, 2.797951025195651]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",1.7058948302894705,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,4.092231392860413e-06,0.06650960817933083,1.9290276039391756,5.4962722938507795,,7.542150113731623,seconds,2046724096,bytes
