task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
Cube,base,1,16,8,0.0016499862345167838,1.0,0.03663426720433765,1.0,0.00025860454186019984,1.0,0.00046422214318148026,1.0,4.278271271560522,1.0,4.278271271560522,1.0
Cube,onset,1,16,8,0.00011074402456144357,0.06711815059104184,0.03411641716957092,0.9312706319271318,1.7732650816626423e-05,0.06857053124075677,0.0005092692777847036,1.097037884264846,4.693425664063828,1.0970378842648463,4.693425664063828,1.0970378842648463
Cube,endpoint,1,16,8,3.336980340204069e-05,0.020224291999510768,0.02998575112885899,0.8185164715211924,6.4184687516383845e-06,0.024819628864477455,0.0006960178616601975,1.4993206848991267,6.41450061306038,1.4993206848991267,6.41450061306038,1.4993206848991267
