task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
TwoRoom,base,1,16,8,0.01811050246902604,1.0,0.07392853995164235,1.0,0.004202640685094457,1.0,0.0003405941352034501,1.0,3.138915550034996,1.0,3.138915550034996,1.0
TwoRoom,onset,1,16,8,0.0011046834695501392,0.0609968426574278,0.0920957980884446,1.2457407944034293,0.00025905156824864497,0.06164018950452401,0.0002762905866992691,0.811201832745094,2.546294047020464,0.8112018327450942,2.546294047020464,0.8112018327450942
TwoRoom,endpoint,1,16,8,7.24281029154857e-05,0.00399923210520292,0.09284955263137817,1.2559365123687323,1.3600218652530052e-05,0.0032361126424074434,0.00021944035590850167,0.6442869480926952,2.0223623200527516,0.6442869480926953,2.0223623200527516,0.6442869480926953
