task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
Reacher,base,1,16,8,0.0064740643885130246,1.0,0.025907584362559848,1.0,0.0003352318605294033,1.0,0.00021686970358644766,1.0,1.9986711882527017,1.0,1.9986711882527017,1.0
Reacher,onset,1,16,8,6.827930608329251e-06,0.0010546590516529453,0.019289393598834675,0.7445462042655971,1.0824234258117421e-06,0.003228879928364692,0.0008917580591629777,4.11195314244301,8.218442273246001,4.11195314244301,8.218442273246001,4.11195314244301
Reacher,endpoint,1,16,8,1.9782924203121878e-05,0.003055719408386307,0.021463497024443414,0.8284638476546361,2.189872549084393e-06,0.006532411763088726,0.0005596099193146073,2.5803969390843844,5.15736501640342,2.580396939084384,5.15736501640342,2.580396939084384
