task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
TwoRoom,base,1,16,8,0.02611707154315075,1.0,0.057926551749308906,1.0,0.005450282169848072,1.0,0.00039090782640789423,1.0,3.602606528175153,1.0,3.602606528175153,1.0
TwoRoom,onset,1,16,8,0.0031955932138187813,0.12235649041045843,0.06521919038560656,1.1258945753901992,0.0007066154628654186,0.12964750096326033,0.0003678864373832766,0.9411078840857081,3.3904414069242774,0.9411078840857081,3.3904414069242774,0.9411078840857081
TwoRoom,endpoint,1,16,8,6.98705580795095e-05,0.0026752830218376147,0.06326005111138026,1.0920734827295324,9.307761881458246e-06,0.0017077577988439637,0.0002284962345534861,0.5845271419944937,2.105821297644928,0.5845271419944937,2.105821297644928,0.5845271419944937
