model_family,task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90,atr_normalized_q90,smpr_delta0,recovery_label,status,history_size,n_sequences,rollout_horizon,rollout_horizon_actual,horizon_weights,horizon_weighting,rollout_vectorization,rollout_projection,rollout_normalization,embedding_space,hutchinson_probes,pixel_input_dim,latent_input_dim,latent_sequence_dim,latent_feature_dim,kappa_latent_dimension_semantics,rollout_output_dim,encoder_trace,encoder_trace_std,encoder_trace_mean_ci95_unclipped,encoder_trace_per_pixel_dim,rollout_trace,rollout_trace_std,rollout_trace_mean_ci95_unclipped,rollout_trace_per_latent_dim,composed_trace,composed_trace_std,composed_trace_mean_ci95_unclipped,composed_trace_per_pixel_dim,kappa_epsilon,kappa_submultiplicative,kappa_relative_isotropic,kappa_submultiplicative_per_probe,kappa_submultiplicative_probe_mean,kappa_submultiplicative_probe_ci95_unclipped,kappa_relative_isotropic_per_probe,kappa_relative_isotropic_probe_mean,kappa_relative_isotropic_probe_ci95_unclipped,finite_probe_interval_method,alignment_coefficient,alignment_coefficient_deprecated_alias_of,notes,runtime_dependency_setup_time,model_load_time,data_io_time,jvp_time,fixed_pool_time,wall_time_per_row,timing_unit,peak_gpu_memory,peak_gpu_memory_unit
LeWM,Reacher,3074,base,0.00,reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074/reacher_lewm_baseline_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074'],58.333333,18.666667,2.5791641540531067,1.0,0.7299999594688416,false,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,40812.32177734375,2160.8269516591786,"[39211.558770049676, 42413.084784637824]",0.005648495321100801,227.62885093688965,62.70277123782504,"[181.17798795812922, 274.0797139156501]",0.02469931108256181,2189.991226196289,620.5720755150444,"[1730.2649991231683, 2649.71745326941]",0.0003030985412177315,1e-12,0.00023573483657644666,2.1725322538885323,"[0.00012209201111054128, 0.000262950404346512, 0.0003313979672584193, 0.00013018504530667668, 0.0003183220319087958, 0.00019385529383925495, 0.0003930211057571201, 0.00029180574154609717]",0.00025545370013417714,"[0.0001875096557356629, 0.00032339774453269137]","[1.1251999743947483, 2.423350926457455, 3.0541636662535923, 1.1997853775463323, 2.933655846071462, 1.7865703880225736, 3.6220825106576187, 2.6892817140888314]",2.3542613004365767,"[1.7280889872598695, 2.980433613613284]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",2.1725322538885323,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,20.506140556186438,0.24027341604232788,5.701550245285034,6.497836548835039,,33.163153912872076,seconds,1857850368,bytes
LeWM,Reacher,3074,onset,0.03,reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074/reacher_lewm_noise_0to003_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074'],80.0,80.666667,0.28342804287613466,0.10989143224200482,0.9799999594688416,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,604.2843551635742,33.11565024303269,"[579.7519381503414, 628.816772176807]",8.363399101324093e-05,252.94970321655273,75.1268020834024,"[197.2949893862422, 308.60441704686326]",0.027446799394157197,38.3058648109436,5.807953282611215,"[34.00327280756386, 42.60845681432335]",5.301597378746757e-06,1e-12,0.0002506050087663381,2.309575760790572,"[0.0002799767777489437, 0.00019409814370540052, 0.0003582759396446392, 0.00025229722144387096, 0.00029697629386985305, 0.0002881729627104683, 0.0001868673004931109, 0.00025507406303530423]",0.00026396733783144884,"[0.0002252362372572557, 0.000302698438405642]","[2.580265983734265, 1.7888084923889713, 3.301871059764995, 2.3251711928267147, 2.7369335243045656, 2.655802024339676, 1.72216904134451, 2.3507625649333637]",2.4327229854546326,"[2.0757771625628685, 2.7896688083463967]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",2.309575760790572,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,5.323439836502075e-06,0.08999796397984028,5.162625759840012,5.845814932137728,,11.14486851170659,seconds,2046724096,bytes
LeWM,Reacher,3074,endpoint,0.08,reacher_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074/reacher_lewm_noise_0to008_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074'],78.333333,80.333333,0.07801434049559372,0.030247915927722434,1.0,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,167.27312660217285,11.800821742654579,"[158.53095551493786, 176.01529768940784]",2.3150887570498076e-05,202.0093002319336,56.50827679104107,"[160.14738295828224, 243.87121750558495]",0.021919411917527516,13.367068409919739,2.482720925693341,"[11.527843009554756, 15.206293810284722]",1.850025190485012e-06,1e-12,0.000395583921885724,3.6457014240988324,"[0.0006540265979261486, 0.0002976899869202776, 0.00030017936294031444, 0.0005003183813154241, 0.0002651508290106661, 0.00032419500057782327, 0.0006605336865694038, 0.0004679187088766052]",0.0004337515692670829,"[0.00032191223672347447, 0.0005455909018106913]","[6.027509126487386, 2.7435109194572784, 2.7664530088579378, 4.610934202202949, 2.443630040162299, 2.987781125325219, 6.087478455423625, 4.312338821006794]",3.997454462365436,"[2.9667431736435406, 5.028165751087331]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",3.6457014240988324,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,2.7511268854141235e-06,0.07600105553865433,5.320757882669568,6.80986213311553,,12.246467975899577,seconds,2046724096,bytes
