task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
PushT,base,1,16,8,0.0018579974905703885,1.0,0.1843667229016622,1.0,0.001423922889019086,1.0,0.00045104133691447685,1.0,4.156796961003819,1.0,4.156796961003819,1.0
PushT,onset,1,16,8,8.89147990837254e-05,0.047855177165190554,0.18163414796193442,0.9851785891904946,4.163939561779334e-05,0.02924273213030373,0.0002797630787640256,0.6202603971464199,2.57829653388926,0.6202603971464199,2.57829653388926,0.6202603971464199
PushT,endpoint,1,16,8,2.724467723919691e-05,0.014663462882736747,0.15875880006286833,0.8611033355924395,1.1446469005666115e-05,0.008038686008869044,0.00028715051236066167,0.6366390147852657,2.646379121915858,0.6366390147852657,2.646379121915858,0.6366390147852657
