model_family,task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90,atr_normalized_q90,smpr_delta0,recovery_label,status,history_size,n_sequences,rollout_horizon,rollout_horizon_actual,horizon_weights,horizon_weighting,rollout_vectorization,rollout_projection,rollout_normalization,embedding_space,hutchinson_probes,pixel_input_dim,latent_input_dim,latent_sequence_dim,latent_feature_dim,kappa_latent_dimension_semantics,rollout_output_dim,encoder_trace,encoder_trace_std,encoder_trace_mean_ci95_unclipped,encoder_trace_per_pixel_dim,rollout_trace,rollout_trace_std,rollout_trace_mean_ci95_unclipped,rollout_trace_per_latent_dim,composed_trace,composed_trace_std,composed_trace_mean_ci95_unclipped,composed_trace_per_pixel_dim,kappa_epsilon,kappa_submultiplicative,kappa_relative_isotropic,kappa_submultiplicative_per_probe,kappa_submultiplicative_probe_mean,kappa_submultiplicative_probe_ci95_unclipped,kappa_relative_isotropic_per_probe,kappa_relative_isotropic_probe_mean,kappa_relative_isotropic_probe_ci95_unclipped,finite_probe_interval_method,alignment_coefficient,alignment_coefficient_deprecated_alias_of,notes,runtime_dependency_setup_time,model_load_time,data_io_time,jvp_time,fixed_pool_time,wall_time_per_row,timing_unit,peak_gpu_memory,peak_gpu_memory_unit
LeWM,Cube,3073,base,0.00,cube_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_baseline_seed3073/cube_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_baseline_seed3073'],65.0,39.0,2.3036574016869658,1.0,0.41999998688697815,false,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,16307.862670898438,1043.4190428590823,"[15534.887026720868, 17080.838315076006]",0.002257036159233171,417.6436882019043,58.83632979033996,"[374.0571251312185, 461.23025127259007]",0.04531724047329691,2294.160598754883,509.6676510194603,"[1916.5935191051376, 2671.727678404628]",0.00031751576101496105,1e-12,0.0003368378205984918,3.1042973546357007,"[0.0004016294548791042, 0.00042762013326945984, 0.00033619683814547, 0.0002686787942661328, 0.00033568370936537284, 0.0003412058346650811, 0.0003284099217235088, 0.0002576556919910792]",0.0003371350472881511,"[0.0002970302467497312, 0.000377239847826571]","[3.701417056165824, 3.940947148211342, 3.0983900603486516, 2.47614376795668, 3.093661065511276, 3.1445529722733876, 3.026625838603857, 2.374554857389786]",3.1070365958076005,"[2.7374307540455223, 3.4766424375696787]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",3.1042973546357007,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,19.256489023566246,0.13875393569469452,5.537618178874254,5.607407966628671,,30.702467711642385,seconds,1857862656,bytes
LeWM,Cube,3073,onset,0.03,cube_lewm_noise_0to003_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_noise_0to003_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_noise_0to003_p1_seed3073/cube_lewm_noise_0to003_p1_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_noise_0to003_p1_seed3073'],66.333333,64.333333,0.6640239554413109,0.2882477033933287,0.9899999499320984,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,821.6664657592773,46.778813299526604,"[787.0122359064422, 856.3206956121124]",0.00011372004789796546,436.8991508483887,79.6431529686703,"[377.89867746081904, 495.8996242359583]",0.047406591888931066,144.24859809875488,32.25713412072305,"[120.35217872924986, 168.1450174682599]",1.9964253341952282e-05,1e-12,0.0004018230425659409,3.703201160287711,"[0.0004039906084839209, 0.0003617527409199802, 0.00046213586807035547, 0.0003420782418421478, 0.0004132591980759899, 0.0004529160610300838, 0.0005176124685401824, 0.00028537056720657545]",0.0004048894692711545,"[0.00035352999281260437, 0.00045624894572970465]","[3.7231774477878155, 3.3339132603185377, 4.259044160136396, 3.1525930768172343, 3.8085967694683225, 4.1740744184532526, 4.770316510066321, 2.6299751473757995]",3.7314613488029598,"[3.2581324137609617, 4.204790283844957]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",3.703201160287711,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,5.062669515609741e-06,0.08927489072084427,5.767354974523187,6.511285196989775,,12.406487248837948,seconds,2046748672,bytes
LeWM,Cube,3073,endpoint,0.08,cube_lewm_noise_0to008_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_noise_0to008_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_noise_0to008_p1_seed3073/cube_lewm_noise_0to008_p1_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-cube/ckpt/cube_lewm_noise_0to008_p1_seed3073'],65.666667,64.666667,0.10161935750323704,0.044112183273789456,1.0,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,268.664981842041,14.510072821675747,"[257.91576946839547, 279.41419421568656]",3.718369420778319e-05,447.90135955810547,72.67922375902451,"[394.05983712477865, 501.7428819914323]",0.04860040793816248,52.973196029663086,12.095366534233825,"[44.01282310725143, 61.933568952074744]",7.331581171728721e-06,1e-12,0.0004402128662804963,4.057001775641053,"[0.00035056199281118574, 0.000541179740952433, 0.0005210798407159323, 0.00041635394820735096, 0.00036678539502549035, 0.00040051429489109796, 0.000287259452023412, 0.0007341158538819935]",0.00045223131481361196,"[0.00035390773406164685, 0.0005505548955655771]","[3.230779325747888, 4.987512492617623, 4.8022718120380326, 3.8371179866789467, 3.380294200554919, 3.6911397417163587, 2.647383109847765, 6.765611709376452]",4.167763797322248,"[3.2616136771121376, 5.073913917532359]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",4.057001775641053,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,4.503875970840454e-06,0.06923112645745277,5.578180197626352,5.177732503041625,,10.868567880243063,seconds,2046748672,bytes
