model_family,task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90,atr_normalized_q90,smpr_delta0,recovery_label,status,history_size,n_sequences,rollout_horizon,rollout_horizon_actual,horizon_weights,horizon_weighting,rollout_vectorization,rollout_projection,rollout_normalization,embedding_space,hutchinson_probes,pixel_input_dim,latent_input_dim,latent_sequence_dim,latent_feature_dim,kappa_latent_dimension_semantics,rollout_output_dim,encoder_trace,encoder_trace_std,encoder_trace_mean_ci95_unclipped,encoder_trace_per_pixel_dim,rollout_trace,rollout_trace_std,rollout_trace_mean_ci95_unclipped,rollout_trace_per_latent_dim,composed_trace,composed_trace_std,composed_trace_mean_ci95_unclipped,composed_trace_per_pixel_dim,kappa_epsilon,kappa_submultiplicative,kappa_relative_isotropic,kappa_submultiplicative_per_probe,kappa_submultiplicative_probe_mean,kappa_submultiplicative_probe_ci95_unclipped,kappa_relative_isotropic_per_probe,kappa_relative_isotropic_probe_mean,kappa_relative_isotropic_probe_ci95_unclipped,finite_probe_interval_method,alignment_coefficient,alignment_coefficient_deprecated_alias_of,notes,runtime_dependency_setup_time,model_load_time,data_io_time,jvp_time,fixed_pool_time,wall_time_per_row,timing_unit,peak_gpu_memory,peak_gpu_memory_unit
LeWM,Reacher,3072,base,0.00,reacher_lewm_20260430,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_20260430,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_20260430/reacher_lewm_20260430_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_20260430'],58.666666666666664,18.333333333333332,2.612153470267934,1.0,0.7699999809265137,false,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,46777.34228515625,4118.435659186843,"[43726.3624526042, 49828.3221177083]",0.0064740643885130246,238.76429748535156,44.17383998334209,"[206.03985887115982, 271.4887360995433]",0.025907584362559848,2422.165512084961,692.0619974235361,"[1909.4788097189971, 2934.8522144509247]",0.0003352318605294033,1e-12,0.00021686970358644766,1.9986711882527017,"[0.00027977771841503643, 0.0002668354963407553, 0.00012274358790579238, 0.00041186900857169596, 0.00021903450708326194, 0.00019999460323588187, 0.00012659606251598, 0.0002007172937770747]",0.00022844603473068484,"[0.00016377555552060354, 0.00029311651394076614]","[2.5784314529129757, 2.459155934276401, 1.1312049061397826, 3.79578478299675, 2.018622017279342, 1.8431502634218873, 1.1667093121472716, 1.8498105794495205]",2.1053586560779913,"[1.5093555196778823, 2.7013617924781004]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",1.9986711882527017,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,19.91680289618671,0.1630663461983204,5.6662730779498816,7.753077508881688,,33.670601692050695,seconds,1857850368,bytes
LeWM,Reacher,3072,onset,0.02,reacher_lewm_noise_0to002_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to002_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to002_p1/reacher_lewm_noise_0to002_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to002_p1'],85.66666666666667,83.66666666666667,0.06478999624693388,0.024803288545021143,1.0,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,49.334147453308105,5.31282118771647,"[45.39835443890938, 53.26994046770683]",6.827930608329251e-06,177.77105140686035,33.23778881076203,"[153.1481528764311, 202.3939499372896]",0.019289393598834675,7.820881605148315,1.4752694597320335,"[6.727986695115634, 8.913776515180997]",1.0824234258117421e-06,1e-12,0.0008917580591629777,8.218442273246001,"[0.0008313660406134565, 0.0007756967999588334, 0.0007927954674309764, 0.0008720524447595433, 0.0014699264059965902, 0.0012472216039219792, 0.0004982248246006923, 0.0010477889053607647]",0.0009418840615803546,"[0.0007312010919255434, 0.0011525670312351659]","[7.661869430293615, 7.148821708420609, 7.306403027843879, 8.036835330903951, 13.546841757664575, 11.494394301744961, 4.591639983519981, 9.656422551804807]",8.680403511524547,"[6.738749263185807, 10.622057759863289]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",8.218442273246001,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,4.298985004425049e-06,0.09218145534396172,5.388773657381535,5.828983277082443,,11.349694425240159,seconds,2046724096,bytes
LeWM,Reacher,3072,endpoint,0.08,reacher_lewm_noise_0to008_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1/reacher_lewm_noise_0to008_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1'],84.0,82.0,0.08880907729496679,0.03399841483504316,1.0,true,ok,3,16,8,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",uniform alpha_k=1/H applied as sqrt(alpha_k),"batch-major canonical weighted stack of (H, D) into (H*D)",identity in the selected embedding_space,none before per-anchor radius normalization,normalized,8,7225344,9216,576,192,batch_size * history_size * latent_feature_dim,24576,142.93843269348145,10.1952109702712,"[135.3857147119524, 150.4911506750105]",1.9782924203121878e-05,197.8075885772705,36.71779070055276,"[170.60666856936336, 225.00850858517765]",0.021463497024443414,15.822582483291626,3.780251815710987,"[13.022132747971565, 18.623032218611687]",2.189872549084393e-06,1e-12,0.0005596099193146073,5.15736501640342,"[0.0004519063671405085, 0.0005901294763334865, 0.0004419901808555375, 0.00039951908209188297, 0.0005914294759176582, 0.0010871168763468275, 0.0005367477666957848, 0.000546175910313536]",0.0005806268919619028,"[0.0004305235339343839, 0.0007307302499894217]","[4.164769079566926, 5.438633253889412, 4.073381506764633, 3.6819678605587933, 5.450614050057139, 10.018869132412362, 4.946667417868353, 5.033557189449548]",5.351057436320896,"[3.9677048887392816, 6.73440998390251]","unclipped normal mean interval using sample standard error; descriptive Monte Carlo uncertainty, not a formal coverage guarantee",5.15736501640342,kappa_relative_isotropic,exact autograd JVP with unclipped Hutchinson trace estimates and finite-probe intervals; not a full Jacobian matrix or closed-loop guarantee,4.7460198402404785e-06,0.07661384530365467,5.586787443608046,6.709631377831101,,12.41159393824637,seconds,2046724096,bytes
