task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
TwoRoom,base,1,16,8,0.017939685153312422,1.0,0.0770570259127352,1.0,0.0040642538038240805,1.0,0.00031901514034474415,1.0,2.940043533417162,1.0,2.940043533417162,1.0
TwoRoom,onset,1,16,8,0.00323390920145982,0.1802656609535148,0.06536266373263465,0.8482375611882028,0.0007409316798051199,0.18230448086386064,0.00038034536949746434,1.192248647153372,3.5052629252886316,1.1922486471533722,3.5052629252886316,1.1922486471533722
TwoRoom,endpoint,1,16,8,9.65552058180714e-05,0.00538221295373421,0.16442809171146816,2.133849441550964,2.7083448617974645e-05,0.006663818237062771,0.00018510143557828456,0.5802277452357102,1.7058948302894705,0.5802277452357102,1.7058948302894705,0.5802277452357102
