task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
PushT,base,1,16,8,0.0014178259234850098,1.0,0.18673805230193669,1.0,0.0013039182964501197,1.0,0.0005343824365145835,1.0,4.924868534918401,1.0,4.924868534918401,1.0
PushT,onset,1,16,8,7.728094978431185e-05,0.05450665593301864,0.17161201602882808,0.9189986396096104,3.770238808577969e-05,0.028914685980266835,0.0003084652523580685,0.5772368837007059,2.842815765731959,0.5772368837007059,2.842815765731959,0.5772368837007059
PushT,endpoint,1,16,8,2.4489829551149793e-05,0.017272804189497327,0.1857596735159556,0.9947606887084848,1.418394923036973e-05,0.0108779432491937,0.00033831207625272517,0.6330898119693208,3.117884094745115,0.6330898119693208,3.117884094745115,0.6330898119693208
