training_seed,task,std_key,sample_index,candidate_count,clean_margin,sample_max_drift,sample_mean_drift,coarse_cert_pass,cert_pass,sharp_cert_pass,sharp_cert_slack,sharp_normalized_score,top1_flip,clean_best,noisy_best
3073,Reacher,0.0,0,65,66.80091857910156,319.55474853515625,90.26133728027344,False,False,False,-415.9612121582031,7.116724014282227,True,0,49
3073,Reacher,0.0,1,65,34.65635681152344,456.164794921875,82.20028686523438,False,False,False,-517.789306640625,15.940673828125,True,0,15
3073,Reacher,0.0,2,65,62.89200210571289,396.5048522949219,125.57699584960938,False,False,False,-649.6326904296875,10.041433334350586,True,0,23
3073,Reacher,0.0,3,65,29.157825469970703,340.3704833984375,82.81332397460938,False,False,False,-603.4710693359375,20.202346801757812,True,0,57
3073,Reacher,0.0,4,65,22.231637954711914,553.5787353515625,142.18618774414062,False,False,False,-884.3594970703125,40.77932357788086,True,0,55
3073,Reacher,0.0,5,65,10.871195793151855,364.26434326171875,112.81749725341797,False,False,False,-593.179443359375,55.56432342529297,True,0,60
3073,Reacher,0.0,6,65,14.228151321411133,340.520263671875,75.26998901367188,False,False,False,-658.3231201171875,47.2690544128418,True,0,62
3073,Reacher,0.0,7,65,101.71197509765625,423.9995422363281,178.24839782714844,False,False,False,-485.710205078125,5.775349140167236,True,0,25
3073,Reacher,0.0,8,65,27.595975875854492,63.40057373046875,14.9575777053833,False,False,False,-6.3028411865234375,1.2283971309661865,False,0,0
3073,Reacher,0.0,9,65,139.53524780273438,394.84033203125,76.57968139648438,False,False,False,-477.03704833984375,4.418756484985352,True,0,35
3073,Reacher,0.0,10,65,40.117027282714844,419.7414245605469,120.00223541259766,False,False,False,-640.57275390625,16.96760368347168,True,0,36
3073,Reacher,0.0,11,65,1.5026658773422241,414.8023681640625,117.38627624511719,False,False,False,-749.550537109375,484.3451843261719,True,7,57
3073,Reacher,0.0,12,65,8.957669258117676,224.2791748046875,61.69887161254883,False,False,False,-49.53997802734375,2.4658284187316895,True,0,55
3073,Reacher,0.0,13,65,17.425329208374023,382.316162109375,132.9246368408203,False,False,False,-607.5081787109375,35.86351013183594,True,0,33
3073,Reacher,0.0,14,65,0.545159637928009,468.43341064453125,162.61337280273438,False,False,False,-867.4259033203125,1592.14111328125,True,53,47
3073,Reacher,0.0,15,65,288.2975769042969,221.02874755859375,51.72867965698242,False,False,False,-49.476409912109375,1.138367772102356,True,0,31
3073,Reacher,0.0,16,65,10.187552452087402,129.91802978515625,27.821136474609375,False,False,False,-48.664119720458984,4.2706427574157715,False,0,0
3073,Reacher,0.0,17,65,3.0474090576171875,289.5235900878906,66.45011138916016,False,False,False,-571.0450439453125,188.38706970214844,True,0,6
3073,Reacher,0.0,18,65,2.448134422302246,525.6810302734375,161.86941528320312,False,False,False,-933.72998046875,382.4046936035156,True,0,22
3073,Reacher,0.0,19,65,19.657386779785156,493.47882080078125,147.62539672851562,False,False,False,-623.34375,32.71040725708008,True,0,60
3073,Reacher,0.0,20,65,26.939849853515625,392.46044921875,68.29720306396484,False,False,False,-684.2044677734375,26.397485733032227,True,0,8
3073,Reacher,0.0,21,65,10.145463943481445,336.5403137207031,143.3000946044922,False,False,False,-633.5628662109375,63.447898864746094,True,0,36
3073,Reacher,0.0,22,65,2.986082077026367,123.35939025878906,21.812259674072266,False,False,False,-74.34571838378906,16.200857162475586,True,0,62
3073,Reacher,0.0,23,65,21.669109344482422,352.81170654296875,71.02056884765625,False,False,False,-644.5244140625,30.743925094604492,True,0,37
3073,Reacher,0.0,24,65,3.8993144035339355,87.26052856445312,20.929994583129883,False,False,False,-12.467813491821289,1.5237866640090942,True,61,0
3073,Reacher,0.0,25,65,4.858028888702393,314.8422546386719,90.65167236328125,False,False,False,-617.0406494140625,128.01461791992188,True,0,30
3073,Reacher,0.0,26,65,0.728746771812439,346.779296875,112.48790740966797,False,False,False,-594.5145263671875,798.1817626953125,True,63,51
3073,Reacher,0.0,27,65,25.617706298828125,284.63836669921875,83.68023681640625,False,False,False,-532.107177734375,21.771068572998047,True,0,45
3073,Reacher,0.0,28,65,13.350979804992676,107.11769104003906,23.142013549804688,False,False,False,-41.706111907958984,4.123824119567871,True,0,40
