training_seed,task,std_key,sample_index,candidate_count,clean_margin,sample_max_drift,sample_mean_drift,coarse_cert_pass,cert_pass,sharp_cert_pass,sharp_cert_slack,sharp_normalized_score,top1_flip,clean_best,noisy_best
3074,Cube,0.0,0,65,232.59744262695312,147.6129913330078,35.789798736572266,False,False,False,-22.630340576171875,1.0972939729690552,False,0,0
3074,Cube,0.0,1,65,13.790706634521484,472.40960693359375,83.34539794921875,False,False,False,-904.7889404296875,66.60859680175781,True,0,14
3074,Cube,0.0,2,65,120.28411102294922,416.1110534667969,74.41996765136719,False,False,False,-608.171630859375,6.056126594543457,True,0,51
3074,Cube,0.0,3,65,117.66944885253906,426.9321594238281,103.56741333007812,False,False,False,-699.38232421875,6.943618297576904,True,0,17
3074,Cube,0.0,4,65,8.23615837097168,205.00282287597656,59.96778869628906,False,False,False,-369.91668701171875,45.91373825073242,True,0,59
3074,Cube,0.0,5,65,51.362281799316406,395.446533203125,82.37835693359375,False,False,False,-738.0650634765625,15.36978816986084,True,0,25
3074,Cube,0.0,6,65,28.30263900756836,241.72862243652344,43.508052825927734,False,False,False,-337.78271484375,12.934672355651855,True,0,19
3074,Cube,0.0,7,65,10.879047393798828,117.76943969726562,41.51704788208008,False,False,False,-130.49496459960938,12.995072364807129,True,0,52
3074,Cube,0.0,8,65,92.71205139160156,350.2214660644531,89.6280746459961,False,False,False,-498.2845764160156,6.318403244018555,True,0,62
3074,Cube,0.0,9,65,147.16844177246094,151.7837677001953,50.369850158691406,False,False,False,-78.90377807617188,1.5361460447311401,False,0,0
3074,Cube,0.0,10,65,261.6206970214844,379.2450866699219,51.802818298339844,False,False,False,-318.0050964355469,1.8136769533157349,True,0,21
3074,Cube,0.0,11,65,39.61320877075195,504.4439392089844,136.30393981933594,False,False,False,-888.8858642578125,19.637048721313477,True,0,17
3074,Cube,0.0,12,65,33.33671569824219,148.10122680664062,37.472686767578125,False,False,False,-124.98320007324219,4.749115467071533,True,0,37
3074,Cube,0.0,13,65,48.27055358886719,406.2973937988281,123.71016693115234,False,False,False,-721.71484375,15.95145034790039,True,0,41
3074,Cube,0.0,14,65,54.054344177246094,406.39605712890625,105.06198120117188,False,False,False,-741.6043701171875,14.719606399536133,True,0,35
3074,Cube,0.0,15,65,130.51162719726562,429.3413391113281,109.71681213378906,False,False,False,-635.4707641601562,5.556252956390381,True,0,54
3074,Cube,0.0,16,65,107.54174041748047,531.2259521484375,124.78692626953125,False,False,False,-872.2698974609375,9.110989570617676,True,0,42
3074,Cube,0.0,17,65,36.361454010009766,309.7838439941406,107.44633483886719,False,False,False,-507.054443359375,11.735346794128418,True,0,27
3074,Cube,0.0,18,65,33.793548583984375,467.5966796875,142.43673706054688,False,False,False,-865.558837890625,26.613140106201172,True,0,62
3074,Cube,0.0,19,65,277.0429992675781,408.82366943359375,96.58258056640625,False,False,False,-306.1732482910156,2.105147123336792,True,0,3
3074,Cube,0.0,20,65,72.23944091796875,332.921630859375,84.94766998291016,False,False,False,-551.1456298828125,8.629427909851074,True,0,13
3074,Cube,0.0,21,65,340.2119445800781,509.6029968261719,44.80422592163086,False,False,False,-280.820068359375,1.8158625364303589,True,0,40
3074,Cube,0.0,22,65,266.21514892578125,338.2882385253906,78.04310607910156,False,False,False,-280.0909118652344,1.772161841392517,True,0,51
3074,Cube,0.0,23,65,56.42691421508789,464.2759704589844,104.17851257324219,False,False,False,-819.2528686523438,15.518832206726074,True,0,62
3074,Cube,0.0,24,65,43.36344909667969,441.5605163574219,96.51505279541016,False,False,False,-806.5181884765625,19.599031448364258,True,0,55
3074,Cube,0.0,25,65,125.91997528076172,496.1889953613281,71.34407806396484,False,False,False,-765.3130493164062,7.077773094177246,True,0,19
3074,Cube,0.0,26,65,147.96873474121094,138.02081298828125,28.198768615722656,False,False,False,-51.72517395019531,1.349568247795105,False,0,0
3074,Cube,0.0,27,65,9.49846076965332,272.2195129394531,91.55154418945312,False,False,False,-508.48480224609375,54.533390045166016,True,0,57
3074,Cube,0.0,28,65,58.832176208496094,253.4741668701172,55.2688102722168,False,False,False,-403.18212890625,6.474034309387207,True,0,58
3074,Cube,0.0,29,65,15.354917526245117,411.6531677246094,141.2071075439453,False,False,False,-773.2540893554688,51.358726501464844,True,0,36
3074,Cube,0.0,30,65,80.59545135498047,374.3716735839844,70.77012634277344,False,False,False,-483.5905456542969,7.0002217292785645,True,0,47
3074,Cube,0.0,31,65,120.07469177246094,352.6448669433594,83.49259185791016,False,False,False,-465.8221435546875,4.586131572723389,True,0,60
3074,Cube,0.0,32,65,34.568355560302734,267.88037109375,98.55257415771484,False,False,False,-397.84112548828125,10.127312660217285,True,0,63
3074,Cube,0.0,33,65,30.166492462158203,414.43218994140625,114.08544921875,False,False,False,-761.38232421875,26.23933982849121,True,0,33
3074,Cube,0.0,34,65,99.20161437988281,358.3676452636719,62.76151657104492,False,False,False,-502.49005126953125,6.065341472625732,True,0,17
3074,Cube,0.0,35,65,51.3234977722168,289.54541015625,86.36036682128906,False,False,False,-453.6454772949219,9.477545738220215,True,0,44
3074,Cube,0.0,36,65,10.871965408325195,194.9573516845703,47.027748107910156,False,False,False,-202.1246337890625,12.228569984436035,True,0,29
3074,Cube,0.0,37,65,52.009544372558594,464.28204345703125,111.84321594238281,False,False,False,-775.0074462890625,15.454928398132324,True,0,61
3074,Cube,0.0,38,65,286.16998291015625,246.17510986328125,79.87696838378906,False,False,False,-22.100830078125,1.0772297382354736,False,0,0
3074,Cube,0.0,39,65,56.31379318237305,500.4478759765625,172.13040161132812,False,False,False,-865.4935913085938,16.369121551513672,True,0,10
3074,Cube,0.0,40,65,123.66801452636719,309.33062744140625,55.221012115478516,False,False,False,-18.358322143554688,1.0504953861236572,True,0,39
3074,Cube,0.0,41,65,202.7178192138672,349.7444763183594,57.10806655883789,False,False,False,-306.21282958984375,1.8155261278152466,True,0,52
3074,Cube,0.0,42,65,64.96965789794922,267.6231384277344,59.79400634765625,False,False,False,-352.89031982421875,6.431617259979248,True,0,31
3074,Cube,0.0,43,65,120.82352447509766,359.8397216796875,98.46871185302734,False,False,False,-464.04254150390625,4.739562511444092,True,0,26
3074,Cube,0.0,44,65,52.92857360839844,240.4725341796875,66.24466705322266,False,False,False,-250.67996215820312,5.635799884796143,True,0,46
3074,Cube,0.0,45,65,209.21246337890625,368.030029296875,87.00933837890625,False,False,False,-386.296142578125,2.7509407997131348,True,0,42
3074,Cube,0.0,46,65,58.71862030029297,316.4945983886719,75.51446533203125,False,False,False,-481.4737548828125,8.886935234069824,True,0,11
3074,Cube,0.0,47,65,13.690284729003906,148.48077392578125,45.77296447753906,False,False,False,-180.3387908935547,11.810639381408691,True,0,63
3074,Cube,0.0,48,65,112.03469848632812,417.0993957519531,68.46382141113281,False,False,False,-598.46337890625,6.34176778793335,True,0,14
3074,Cube,0.0,49,65,9.741403579711914,434.77862548828125,118.86868286132812,False,False,False,-797.1058349609375,82.82659149169922,True,0,32
3074,Cube,0.0,50,65,311.47869873046875,434.9275817871094,78.86284637451172,False,False,False,-257.77093505859375,1.8275716304779053,True,0,13
3074,Cube,0.0,51,65,7.110157012939453,218.40350341796875,78.2027359008789,False,False,False,-360.32427978515625,51.677398681640625,True,26,49
3074,Cube,0.0,52,65,77.35445404052734,331.7989501953125,50.364322662353516,False,False,False,-158.28822326660156,3.0172810554504395,True,0,32
3074,Cube,0.0,53,65,168.3606414794922,493.46197509765625,101.8150863647461,False,False,False,-538.9169921875,4.200967788696289,True,0,34
3074,Cube,0.0,54,65,308.602783203125,416.99981689453125,58.024044036865234,False,False,False,-249.28204345703125,1.8077764511108398,True,0,30
3074,Cube,0.0,55,65,7.856482028961182,107.33343505859375,24.79084014892578,False,False,False,-36.455322265625,5.640158653259277,True,0,36
3074,Cube,0.0,56,65,115.75785064697266,365.41253662109375,55.267677307128906,False,False,False,-546.0986938476562,5.657808780670166,True,0,31
3074,Cube,0.0,57,65,70.64046478271484,326.6002502441406,67.00212097167969,False,False,False,-449.81903076171875,7.367724418640137,True,0,33
3074,Cube,0.0,58,65,28.66860580444336,392.2296142578125,92.98530578613281,False,False,False,-694.0339965820312,25.208852767944336,True,0,24
3074,Cube,0.0,59,65,270.2941589355469,404.5832214355469,54.90970230102539,False,False,False,-266.3109130859375,1.926222324371338,True,0,34
