task,sigma_max,sigma_eval,n_training_seeds,clean_success_mean,clean_success_sd,stress_success_mean,stress_success_sd,retention_pp_mean,retention_pp_sd,relative_ir_mean,relative_ir_sd,sr_mean,sr_sd,ir_pass_count,joint_pass_count,natural_sr_veto_count
TwoRoom,0.1,0.08,3,97.55555555556667,0.5091750772209521,97.11110000000001,0.38489055728725063,-0.4444555555666672,0.1924693347292303,0.059546751839216205,0.007101392004180341,0.989070991675059,0.009464747228433962,3,3,0
TwoRoom,0.1,0.16,3,97.55555555556667,0.5091750772209521,97.66666666666667,0.8819171036567037,0.11111111110000138,0.5091750771664043,0.11296051077155145,0.02389629584704059,0.9781420230865479,0.009464781641191668,3,3,0
TwoRoom,0.1,0.32,3,97.55555555556667,0.5091750772209521,96.77776666666666,0.5091568924430049,-0.7777888889000005,0.5091714406540987,0.3652623329564049,0.03883102454126285,0.9672130346298218,0.0,0,0,0
TwoRoom,0.1,0.64,3,97.55555555556667,0.5091750772209521,61.333333333333336,6.110100926607787,-36.222222222233334,5.872093449670478,1.0342579657669466,0.09458539699016137,0.05464480444788933,0.02504139380858627,0,0,0
TwoRoom,0.2,0.08,3,96.77777777776667,1.347150628126995,96.77776666666666,1.071523664383263,-1.1111100003328525e-05,0.6666833334194434,0.042226971074802895,0.0050684803594355345,0.989070991675059,0.009464747228433962,3,3,0
TwoRoom,0.2,0.16,3,96.77777777776667,1.347150628126995,97.44443333333334,1.503084483099115,0.6666555555666633,0.33335000013888544,0.0740260900417115,0.006675169900098787,0.9781420230865479,0.009464781641191668,3,3,0
TwoRoom,0.2,0.32,3,96.77777777776667,1.347150628126995,96.22221111113333,1.2619913718493578,-0.5555666666333394,1.0183683393110325,0.206724163045378,0.05182283418401134,0.9672130346298218,0.0,3,3,0
TwoRoom,0.2,0.64,3,96.77777777776667,1.347150628126995,78.0,12.67981773439149,-18.77777777776667,13.508570667597034,0.9651365362867907,0.19716511067564374,0.14207649727662405,0.11859308498480423,0,0,0
TwoRoom,0.3,0.08,3,95.22223333333334,0.9622408262603629,94.88889999999999,1.0183465176451474,-0.3333333333333333,0.33333333334999793,0.03424710018910952,0.001737657767697787,0.9945354660352071,0.009464747228433962,3,3,0
TwoRoom,0.3,0.16,3,95.22223333333334,0.9622408262603629,94.88889999999999,1.1706107935603502,-0.3333333333333333,0.6666666666500021,0.06149683562111665,0.002664722445873784,0.9781420230865479,0.009464781641191668,3,3,0
TwoRoom,0.3,0.32,3,95.22223333333334,0.9622408262603629,95.0,0.8819171036944955,-0.22223333333333528,0.7698099815466818,0.13886047117205214,0.010122558235382927,0.9672130346298218,0.0,3,3,0
TwoRoom,0.3,0.64,3,95.22223333333334,0.9622408262603629,90.77778888889999,1.8358558405005527,-4.444444444433334,1.0715167512646404,0.5781407896050857,0.04206418162627983,0.6338797609011332,0.14133896661556744,0,0,0
TwoRoom,0.4,0.08,3,91.0,0.8819171036944955,91.66665555556666,0.8819045049735222,0.6666555555666633,0.8819234033024584,0.03871718358304531,0.005325962619851599,0.9945354660352071,0.009464747228433962,3,3,0
TwoRoom,0.4,0.16,3,91.0,0.8819171036944955,91.66666666666667,0.5773502691896257,0.6666666666666666,0.8819171037133914,0.0647692419841143,0.006603713447030918,0.989070991675059,0.009464747228433962,3,3,0
TwoRoom,0.4,0.32,3,91.0,0.8819171036944955,92.22222222223333,0.6938886664753685,1.2222222222333319,0.38490017947899313,0.13954813400973565,0.008637807947533277,0.9781420230865479,0.009464781641191668,3,3,0
TwoRoom,0.4,0.64,3,91.0,0.8819171036944955,89.11112222223333,1.3877960145977304,-1.888877777766666,0.5091932620659253,0.43338518965559053,0.07565157550419681,0.8961747884750366,0.12304185162067233,0,0,0
TwoRoom,0.5,0.08,3,82.66666666666667,5.507570547286102,82.88888888886667,4.857220665438512,0.22222222220000276,1.8358568490842728,0.046827446989583126,0.014723418566091261,0.989070991675059,0.009464747228433962,3,3,0
TwoRoom,0.5,0.16,3,82.66666666666667,5.507570547286102,84.22221111110001,4.438866221660657,1.5555444444333328,1.0715357619945978,0.08001821763775775,0.025945483315183537,0.989070991675059,0.009464747228433962,3,3,0
TwoRoom,0.5,0.32,3,82.66666666666667,5.507570547286102,82.88889999999999,5.891004127481158,0.22223333333333528,0.38491942446872685,0.14850918004001137,0.05011018149049604,0.9781420230865479,0.009464781641191668,3,3,0
TwoRoom,0.5,0.64,3,82.66666666666667,5.507570547286102,81.88887777776667,6.449212699619487,-0.7777888889000005,1.018331969644472,0.31795734838120243,0.07950477589102295,0.9672130346298218,0.0,1,1,0
TwoRoom,0.7,0.08,3,76.55554444446666,10.647558927360874,76.77776666666666,11.026909845483562,0.22222222220000276,0.38490017942126525,0.05935472215571988,0.02568717201393292,0.989070991675059,0.009464747228433962,3,3,0
TwoRoom,0.7,0.16,3,76.55554444446666,10.647558927360874,76.55555555556667,11.529350628997408,1.1111100003328525e-05,0.8819108044803935,0.10037852302259004,0.04543668962424716,0.9781420230865479,0.009464781641191668,3,3,0
TwoRoom,0.7,0.32,3,76.55554444446666,10.647558927360874,76.66665555556666,12.414159478421915,0.11111111110000138,2.775554665941501,0.16322408449547707,0.06335729582266199,0.9726775487263998,0.01892952886962563,3,3,0
TwoRoom,0.7,0.64,3,76.55554444446666,10.647558927360874,76.33333333333333,11.623730516139048,-0.22221111113332861,1.1706123755159537,0.28273322722058786,0.08102084112954425,0.9508196314175924,0.03278687596321558,1,1,0
TwoRoom,1.0,0.08,3,67.55555555556667,6.946888458832698,66.33334444443334,8.83804968434171,-1.222211111133331,2.219434362449638,0.09822441661033611,0.05759465025816441,0.9016393025716146,0.15638346104576684,3,2,1
TwoRoom,1.0,0.16,3,67.55555555556667,6.946888458832698,66.66666666666667,6.839428176194427,-0.8888888888999963,0.962250448639757,0.13736612274191343,0.05073015590245728,0.8743168910344442,0.2036573219985589,3,2,1
TwoRoom,1.0,0.32,3,67.55555555556667,6.946888458832698,67.44444444443333,9.106367328757553,-0.11111111113333294,2.2194427061681448,0.19638905414527594,0.023084527095787108,0.8415300051371256,0.19000368030522244,3,1,2
TwoRoom,1.0,0.64,3,67.55555555556667,6.946888458832698,67.44443333333332,9.311478977140109,-0.11112222223333627,2.3648631626868686,0.28639622094307,0.01633985957669301,0.7704917589823405,0.2560737484184031,2,0,2
TwoRoom,1.5,0.08,3,61.44444444443334,10.2433356835341,61.0,11.135528725660043,-0.4444444444333347,0.9622504486686189,0.06942875765047449,0.02388470028530713,0.8524589538574219,0.13418610761212035,3,1,2
TwoRoom,1.5,0.16,3,61.44444444443334,10.2433356835341,62.1111,9.856377330124335,0.6666555555666681,0.6666500000694471,0.10072019535166159,0.015116609329483142,0.8306010365486145,0.1394245824521325,3,1,2
TwoRoom,1.5,0.32,3,61.44444444443334,10.2433356835341,60.222222222233334,7.3811571912378975,-1.2222222222000028,3.6717136981685456,0.14429569896084093,0.014018358549752453,0.8087431192398071,0.13250661113937695,3,1,2
TwoRoom,1.5,0.64,3,61.44444444443334,10.2433356835341,60.333333333333336,9.71253485622231,-1.1111111111000014,1.0183501544309945,0.22464958701695656,0.028037146034948616,0.7377048929532369,0.16145668343992428,3,0,3
PushT,0.1,0.08,3,83.66667777779999,6.245011342413272,84.88889999999999,7.81263269519309,1.2222222222000028,1.6442942874466318,0.05497880013307138,0.009083269101568838,1.0,0.0,3,3,0
PushT,0.1,0.16,3,83.66667777779999,6.245011342413272,77.44443333333334,8.700774337610547,-6.222244444466668,2.4570126398806575,0.14719579864714824,0.02322062088836111,1.0,0.0,3,3,0
PushT,0.1,0.32,3,83.66667777779999,6.245011342413272,9.111122222210001,5.273989634708771,-74.55555555558999,1.0715167512247243,0.7234270864520989,0.06665724811215469,0.2551020433505376,0.08895712161069805,0,0,0
PushT,0.1,0.64,3,83.66667777779999,6.245011342413272,1.99998888889,1.2018319351595128,-81.66668888891,5.783138325361966,0.9655734406757839,0.04567868171453396,0.07482992857694626,0.005891330769835164,0,0,0
PushT,0.2,0.08,3,51.66665555556667,31.05013079237014,51.44445555553333,29.67666048898734,-0.2222000000333265,1.3877666582678763,0.0639150432190625,0.037897161141679014,1.0,0.0,3,3,0
PushT,0.2,0.16,3,51.66665555556667,31.05013079237014,48.11109999999999,28.386867986378643,-3.5555555555666665,3.906310184709218,0.1022868190497757,0.05051335879139069,1.0,0.0,3,3,0
PushT,0.2,0.32,3,51.66665555556667,31.05013079237014,34.7777888889,16.331073653235418,-16.88886666666666,14.720844128423249,0.3398622626993802,0.10060848106989743,0.8945578138033549,0.13001029693188634,1,1,0
PushT,0.2,0.64,3,51.66665555556667,31.05013079237014,3.6666555555566664,0.33335000013888205,-48.00000000001,31.320919526741704,1.4348381411686526,0.6120810655279264,0.11224489659070969,0.01020408421754837,0,0,0
PushT,0.3,0.08,3,15.555566666666666,0.7697811139105277,14.555566666666666,0.8388727005465271,-1.0,1.201850425131551,0.06221753466469762,0.012604375428328221,1.0,0.0,3,3,0
PushT,0.3,0.16,3,15.555566666666666,0.7697811139105277,15.2222111111,1.6443134333210325,-0.3333555555666668,0.8819549001528958,0.10847082005243008,0.014490607483262996,0.9965986410776774,0.0058913264682404504,3,3,0
PushT,0.3,0.32,3,15.555566666666666,0.7697811139105277,13.111111111100001,1.6442942874466326,-2.4444555555666665,2.411373513712326,0.22491459357708976,0.051974947485938734,0.9863945643107096,0.0058913264682404504,3,3,0
PushT,0.3,0.64,3,15.555566666666666,0.7697811139105277,4.666677777776667,1.201836557724299,-10.88888888889,0.8388704928094065,1.5031292564290222,0.24561894674758214,0.17346938451131186,0.0204081609845166,0,0,0
PushT,0.4,0.08,3,11.666666666666666,0.881917103713394,11.555555555566665,0.7698003589002563,-0.1111111111000002,0.962250448639754,0.059270044954970215,0.010894866649464763,0.9931972821553549,0.011782652936480901,3,3,0
PushT,0.4,0.16,3,11.666666666666666,0.881917103713394,11.000011111100001,0.881929702617652,-0.6666555555666663,1.154719783397847,0.09324647165414861,0.0242033677847612,0.9897959232330322,0.010204076766967773,3,3,0
PushT,0.4,0.32,3,11.666666666666666,0.881917103713394,10.333322222233333,0.8819360019256461,-1.3333444444333338,0.8819234033024594,0.1724511471438339,0.04793494534356708,0.9693877299626669,0.02040818333626519,3,2,1
PushT,0.4,0.64,3,11.666666666666666,0.881917103713394,8.222233333323333,2.6942916337451095,-3.4444333333433335,1.835848779427532,0.7777349537811964,0.26511862201938197,0.4761904676755269,0.18148735663070611,0,0,0
PushT,0.5,0.08,3,10.999988888866667,2.5166291388489697,10.222222222233333,1.0715167512283523,-0.7777666666333337,1.7105478871792321,0.05074442062106519,0.013928666128444261,1.0,0.0,3,3,0
PushT,0.5,0.16,3,10.999988888866667,2.5166291388489697,11.111111111133333,1.3877773329907657,0.11112222226666606,2.41140346415388,0.0821882352855407,0.019841768854616897,1.0,0.0,3,3,0
PushT,0.5,0.32,3,10.999988888866667,2.5166291388489697,9.1111111111,1.1706281947440145,-1.8888777777666668,2.143045600245906,0.14438064602897638,0.03046698131766621,0.9931972821553549,0.0058913264682404504,3,3,0
PushT,0.5,0.64,3,10.999988888866667,2.5166291388489697,10.555566666676667,1.1706297768660914,-0.4444222221900003,2.4114311106381074,0.42070176247709573,0.08066562714421818,0.8027210632960001,0.05236325502559833,0,0,0
PushT,0.7,0.08,3,9.666666666666666,1.1547005383792515,9.22221111111,0.8388881532739234,-0.44445555555666694,0.6938940043383186,0.06361689152961643,0.017414440642017737,1.0,0.0,3,3,0
PushT,0.7,0.16,3,9.666666666666666,1.1547005383792515,8.333322222223334,1.2018642927354954,-1.333344444443333,0.33335000013888183,0.09663342732896017,0.015007173060272312,0.9931972821553549,0.0058913264682404504,3,3,0
PushT,0.7,0.32,3,9.666666666666666,1.1547005383792515,7.88888888889,1.0183501544342675,-1.7777777777766666,0.3849001794616752,0.15819864677974751,0.01957133161642571,0.9693877299626669,0.010204106569304669,3,3,0
PushT,0.7,0.64,3,9.666666666666666,1.1547005383792515,8.222222222223333,0.6938886664873765,-1.4444444444433333,1.5030832509410879,0.3202710615647315,0.0414103362587143,0.9081632494926453,0.01767397940472135,1,0,1
PushT,1.0,0.08,3,8.444433333333334,0.8388528324099654,8.222233333343333,2.143021404745075,-0.22219999999000026,2.5018185981146237,0.05109792974692875,0.006072615514229314,1.0,0.0,3,3,0
PushT,1.0,0.16,3,8.444433333333334,0.8388528324099654,9.222211111123334,2.1430404155472402,0.7777777777899999,2.268953095205331,0.08954053023405177,0.021377712633091867,0.9897959232330322,0.010204076766967773,3,3,0
PushT,1.0,0.32,3,8.444433333333334,0.8388528324099654,7.77778888889,1.018331969631384,-0.6666444444433332,1.7320123175518936,0.1509676922295827,0.0343269424993814,0.9591836531956991,0.017674013817479056,3,1,2
PushT,1.0,0.64,3,8.444433333333334,0.8388528324099654,7.1111,0.6939073481228518,-1.333333333333333,1.4529663145127925,0.2742456875239774,0.025080110766916724,0.9285714030265808,0.0,3,0,3
PushT,1.5,0.08,3,7.5555555555566665,0.5091750772176793,6.444455555556666,1.347141005706777,-1.1111000000000002,1.3471355070811877,0.0654087086868194,0.010263945544370988,0.9897959232330322,0.010204076766967773,3,3,0
PushT,1.5,0.16,3,7.5555555555566665,0.5091750772176793,6.6666777777799995,1.0000000001851852,-0.8888777777766667,1.3877719954973393,0.10686979497382587,0.029106460551984986,0.9863945643107096,0.0058913264682404504,3,3,0
PushT,1.5,0.32,3,7.5555555555566665,0.5091750772176793,6.888877777776667,1.5031004994599215,-0.66667777778,2.000016666688148,0.1799931282522326,0.05458645663833591,0.9421768387158712,0.015586984727256696,3,1,2
PushT,1.5,0.64,3,7.5555555555566665,0.5091750772176793,6.333333333333333,0.33333333333500015,-1.2222222222233334,0.6938886664873765,0.27805569374420785,0.047294823225288725,0.8877550959587097,0.026997449484408714,2,0,2
Reacher,0.1,0.08,3,82.88889999999999,2.411411911679318,81.88887777776667,1.3877719955141492,-1.000022222233336,2.333366666729372,0.019358068309023268,0.0002936474111887372,1.0,0.0,3,3,0
Reacher,0.1,0.16,3,82.88889999999999,2.411411911679318,80.66667777776667,2.4037147178466514,-2.222222222233332,1.9531550923730958,0.04009403908844666,0.0005923020181579135,0.9899999499320984,0.0,3,3,0
Reacher,0.1,0.32,3,82.88889999999999,2.411411911679318,63.333322222199996,4.358879825582527,-19.555577777800007,2.0366639392889474,0.535825546171773,0.1693187877599486,0.8866666356722513,0.11372479645135247,0,0,0
Reacher,0.1,0.64,3,82.88889999999999,2.411411911679318,13.666677777799999,2.6457576105286686,-69.2222222222,2.795499027851473,0.8913339581481702,0.08936676895848761,0.29999998211860657,0.117898256220472,0,0,0
Reacher,0.2,0.08,3,72.1111,16.30381982058465,71.2222111111,16.37182641005578,-0.8888888888999986,1.8358568491115048,0.02203665415531136,0.006864002607957949,0.9966666499773661,0.005773531598612731,3,3,0
Reacher,0.2,0.16,3,72.1111,16.30381982058465,68.44445555553334,16.56413931092776,-3.66664444446666,1.8559573754185146,0.04133629686693387,0.012423108883878011,0.9966666499773661,0.005773531598612731,3,3,0
Reacher,0.2,0.32,3,72.1111,16.30381982058465,60.1111,17.667714644013493,-11.999999999999998,7.549834435270746,0.18328392181056108,0.0973061276517537,0.9699999690055847,0.019999980926513672,3,2,1
Reacher,0.2,0.64,3,72.1111,16.30381982058465,22.222233333333335,10.308199361426915,-49.888866666666665,16.351429657780177,0.9070263915656208,0.006794565888477344,0.27666666110356647,0.13051181260720662,0,0,0
Reacher,0.3,0.08,3,76.9999888889,7.688359166106849,75.77776666666666,6.6694274839249355,-1.2222222222333319,1.0715167512283517,0.01734313593706375,0.0038627372032248018,0.9966666499773661,0.005773531598612731,3,3,0
Reacher,0.3,0.16,3,76.9999888889,7.688359166106849,74.9999888889,10.913789442739821,-2.0,3.4641016151377544,0.03160735182611501,0.006677470894287145,0.9966666499773661,0.005773531598612731,3,3,0
Reacher,0.3,0.32,3,76.9999888889,7.688359166106849,73.11112222223333,4.350411219428959,-3.888866666666663,3.4694166445287746,0.06625569436235544,0.01940592585004397,0.9933332999547323,0.005773531598612731,3,3,0
Reacher,0.3,0.64,3,76.9999888889,7.688359166106849,36.7777888889,12.001559620870113,-40.222199999999994,4.350428672095306,0.7687576683996292,0.11128832763245088,0.5566666622956594,0.1677299457706162,0,0,0
Reacher,0.4,0.08,3,78.33332222223333,6.765912930136816,77.33332222223333,2.962725847069313,-1.0,4.58257569495584,0.013574935697768584,0.0011208444597349933,1.0,0.0,3,3,0
Reacher,0.4,0.16,3,78.33332222223333,6.765912930136816,78.00001111113333,1.1547101609943984,-0.3333111110999975,5.695971285967854,0.024577616642583528,0.002252299943601658,1.0,0.0,3,3,0
Reacher,0.4,0.32,3,78.33332222223333,6.765912930136816,76.33334444443334,8.293251607354778,-1.9999777777999934,1.5275543275930188,0.0467102305446607,0.006316107553837501,1.0,0.0,3,3,0
