task,training_seed,evidence_split,sigma_max,sigma_eval,clean_success,stress_success,ir_raw_q90,ir_reference_raw_q90,ir_relative_q90,neg_ir_relative_q90,sr,ir_only_pass,ir_and_sr_pass,natural_sr_veto,different_state_pair_count,retention_pp,retention_ratio,exposure_good,retention_pp_centered,retention_ratio_centered,neg_ir_relative_q90_centered,sr_centered,exposure_good_centered
TwoRoom,3072,development,0.1,0.08,98.0,97.3333,0.12287020683288574,1.819216251373291,0.06754018756161254,-0.06754018756161254,0.9999999403953552,True,True,False,61,-0.6667000000000058,0.9931969387755102,-0.7999999999999999,5.239568749999997,0.053596473486941965,0.18083840508775956,0.16393442021217197,1.486964285714286
TwoRoom,3072,development,0.1,0.16,98.0,98.0,0.29801520705223083,2.1254587173461914,0.14021218319607126,-0.14021218319607126,0.9672130346298218,True,True,False,61,0.0,1.0,-1.5999999999999999,5.406268750000003,0.053272288749757424,0.14514421009842893,0.1495901377638802,0.94625
TwoRoom,3072,development,0.1,0.32,98.0,97.3333,0.9091019630432129,2.21677827835083,0.41010053730747414,-0.41010053730747414,0.9672130346298218,False,False,False,61,-0.6667000000000058,0.9931969387755102,-3.1999999999999997,5.364568749999997,0.0558311593936609,-0.018755837578252638,0.16803277598228306,-0.13517857142857137
TwoRoom,3072,development,0.1,0.64,98.0,68.0,2.2116968631744385,2.1687135696411133,1.0198197189961042,-1.0198197189961042,0.049180325120687485,False,False,False,61,-30.0,0.6938775510204082,-6.3999999999999995,-16.01040625,-0.16269992163035996,-0.3072267776079358,-0.4815573339583352,-2.298035714285714
TwoRoom,3072,development,0.2,0.08,97.0,96.3333,0.08313769847154617,1.819216251373291,0.04569973383251559,-0.04569973383251559,0.9999999403953552,True,True,False,61,-0.6667000000000058,0.9931268041237112,-0.39999999999999997,5.906243749999999,0.06122331968934036,0.15332337245235594,0.15573768911417574,0.38696428571428587
TwoRoom,3072,development,0.2,0.16,97.0,97.3333,0.16332167387008667,2.1254587173461914,0.07684067092773607,-0.07684067092773607,0.9836065173149109,True,True,False,61,0.33329999999999416,1.0034360824742268,-0.7999999999999999,6.406243749999999,0.06440535207818154,0.1591602360022636,0.15778688935097307,0.24624999999999986
TwoRoom,3072,development,0.2,0.32,97.0,95.3333,0.5641630291938782,2.21677827835083,0.2544968230262463,-0.2544968230262463,0.9672130346298218,True,True,False,61,-1.6667000000000058,0.9828175257731958,-1.5999999999999999,5.031243749999999,0.05314872724554387,0.08749239033847467,0.15983604488428682,-0.0351785714285715
TwoRoom,3072,development,0.2,0.64,97.0,65.0,2.3058054447174072,2.1687135696411133,1.0632134538167621,-1.0632134538167621,0.06557376682758331,False,False,False,61,-32.0,0.6701030927835051,-3.1999999999999997,-17.343731249999998,-0.17877739901306589,-0.3999759987930943,-0.4733606233494356,-0.5980357142857144
TwoRoom,3072,development,0.3,0.08,94.6667,94.6667,0.05970359966158867,1.819216251373291,0.03281830822285123,-0.03281830822285123,0.9999999403953552,True,True,False,61,0.0,1.0,-0.26666666666666666,-0.5104062499999982,-0.004567736654468635,-0.0026845272041519375,-0.024590169661678374,0.020297619047619064
TwoRoom,3072,development,0.3,0.16,94.6667,93.6667,0.12542299926280975,2.1254587173461914,0.0590098496099753,-0.0590098496099753,0.9836065173149109,True,True,False,61,-1.0,0.9894366234378087,-0.5333333333333333,-2.010406249999999,-0.022258359178334297,0.00810173205385209,-0.02254096942488104,0.012916666666666576
TwoRoom,3072,development,0.3,0.32,94.6667,94.0,0.31687411665916443,2.21677827835083,0.14294353195074727,-0.14294353195074727,0.9672130346298218,True,True,False,61,-0.6667000000000058,0.9929573968459869,-1.0666666666666667,-1.052106250000004,-0.00937565390176276,0.030156356147801433,-0.02049181389156729,-0.0018452380952382885
TwoRoom,3072,development,0.3,0.64,94.6667,90.6667,1.1492483615875244,2.1687135696411133,0.5299216907549973,-0.5299216907549973,0.7868852019309998,False,False,False,61,-4.0,0.9577464937512346,-2.1333333333333333,3.5729187500000004,0.03620174973456591,-0.03557356099750164,0.0676229529781267,-0.03136904761904802
TwoRoom,3072,development,0.4,0.08,92.0,92.3333,0.059535183012485504,1.819216251373291,0.032725731736149316,-0.032725731736149316,0.9999999403953552,True,True,False,61,0.33329999999999416,1.0036228260869564,-0.19999999999999998,-1.5937812500000055,-0.015909782058754707,-0.03729142236841351,-0.06967212783638388,-0.16303571428571428
TwoRoom,3072,development,0.4,0.16,92.0,92.0,0.12433953583240509,2.1254587173461914,0.05850009450555367,-0.05850009450555367,0.9836065173149109,True,True,False,61,0.0,1.0,-0.39999999999999997,-2.4270812500000005,-0.026659854107385472,-0.026087984492689786,-0.06762292759958655,-0.10375000000000001
TwoRoom,3072,development,0.4,0.32,92.0,93.0,0.2877042591571808,2.21677827835083,0.1297848602933885,-0.1297848602933885,0.9672130346298218,True,True,False,61,1.0,1.0108695652173914,-0.7999999999999999,-0.8020812499999996,-0.006428357021600828,0.008615556154196707,-0.0655737720662728,0.01482142857142843
TwoRoom,3072,development,0.4,0.64,92.0,90.6667,0.8780791759490967,2.1687135696411133,0.4048848073996256,-0.4048848073996256,0.9672130346298218,False,False,False,61,-1.3332999999999942,0.9855076086956522,-1.5999999999999999,4.822943750000005,0.04899799318774112,0.05476385070690648,0.20286882750224322,0.2519642857142854
TwoRoom,3072,development,0.5,0.08,89.0,88.0,0.05482166260480881,1.819216251373291,0.030134769609399103,-0.030134769609399103,0.9836065173149109,True,True,False,61,-1.0,0.9887640449438202,-0.16,-3.010406249999998,-0.03170479915694724,-0.08670901256638813,-0.08606556581798941,-0.27303571428571427
