acpc_gap_mean,acpc_gap_not_computed_reason,acpc_gap_q90,acpc_gap_q95,candidate_rank_metrics_computed,closer_to_wrong_than_pair_rate,corruption,coverage_decision,delta_norm_mean,delta_norm_median,delta_norm_q75,delta_norm_q90,delta_norm_q95,delta_norm_q99,effective_rank,feature_space,lambda_max_over_trace,paired_clean_rank_median,paired_clean_rank_q90,ratio_to_knn_mean,ratio_to_knn_median,ratio_to_knn_q75,ratio_to_knn_q90,ratio_to_knn_q95,ratio_to_knn_q99,same_label_topk_rate,state_proxy_missing,task_alignment_mean,task_alignment_q90,task_alignment_q95,top1_eigen_ratio,top5_eigen_ratio,wrong_label_nn_rate
0.17033201456069946,,0.3444431722164154,0.5302686095237732,False,0.2421875,gaussian_std0.03,no_go,7.603280067443848,7.415510177612305,8.69441032409668,9.87842082977295,10.673864364624023,12.396832466125488,34.41239547729492,emb,0.09348227083683014,1.0,4.0,1.7018241882324219,1.4544625282287598,2.0651133060455322,2.66489839553833,3.636645793914795,5.918924808502197,0.560546875,0.0,0.5372850298881531,0.7039826512336731,0.743665874004364,0.09348227083683014,0.3654249906539917,0.173828125
0.6426814198493958,,1.287318468093872,1.5430245399475098,False,0.666015625,gaussian_std0.05,no_go,14.310894012451172,14.134649276733398,15.938409805297852,17.775609970092773,19.254287719726562,21.063264846801758,30.951026916503906,emb,0.10602734237909317,4.0,20.899993896484375,3.238140344619751,2.6994829177856445,3.8049659729003906,5.419964790344238,6.709861755371094,12.333538055419922,0.33710935711860657,0.0,0.5584949254989624,0.7401418089866638,0.7687796354293823,0.10602734237909317,0.4073091447353363,0.583984375
1.0855909585952759,,1.711593508720398,1.8426437377929688,False,0.91796875,gaussian_std0.08,no_go,24.496734619140625,24.467458724975586,26.7757568359375,28.669057846069336,30.518606185913086,32.71291732788086,26.45154571533203,emb,0.12560172379016876,26.0,231.89999389648438,5.696775913238525,4.689332485198975,6.717378616333008,9.776762008666992,11.66627025604248,22.279083251953125,0.09453125298023224,0.0,0.5489072799682617,0.7071451544761658,0.7358769774436951,0.12560172379016876,0.4677133560180664,0.892578125
1.2332016229629517,,1.7781727313995361,1.9314340353012085,False,0.970703125,blur_ks7,no_go,55.17121124267578,55.06737518310547,56.965370178222656,59.589778900146484,60.71921157836914,61.68607711791992,22.501792907714844,emb,0.12716145813465118,169.0,426.0,12.892071723937988,10.28938102722168,15.442376136779785,22.759042739868164,26.141693115234375,53.582149505615234,0.04218749701976776,0.0,0.4304788410663605,0.5849204063415527,0.6305341124534607,0.12716145813465118,0.4771721661090851,0.939453125
1.3290486335754395,,1.88401460647583,2.071218967437744,False,0.984375,resize_factor0.5,no_go,50.703575134277344,50.49609375,52.36122131347656,54.869728088378906,55.91493225097656,57.84135818481445,20.947240829467773,emb,0.13290256261825562,147.0,407.8999938964844,11.81295108795166,9.496623992919922,14.105839729309082,20.781057357788086,23.8543758392334,48.78532028198242,0.03671875223517418,0.0,0.452985942363739,0.5958927273750305,0.6683653593063354,0.13290256261825562,0.522473156452179,0.958984375
nan,"predictor consumes post-projector emb, not encoder_feat",nan,nan,False,0.279296875,gaussian_std0.03,low,1.5584027767181396,1.535844087600708,1.7215771675109863,1.9189810752868652,2.001624345779419,2.2158515453338623,24.071449279785156,encoder_feat,0.1482541561126709,2.0,4.0,2.4330615997314453,2.098428249359131,2.982844829559326,3.9639952182769775,4.862279891967773,8.54000186920166,0.5499999523162842,0.0,0.47384485602378845,0.628348708152771,0.6728696227073669,0.1482541561126709,0.5669757127761841,0.205078125
nan,"predictor consumes post-projector emb, not encoder_feat",nan,nan,False,0.703125,gaussian_std0.05,no_go,2.976649045944214,2.946965217590332,3.2331581115722656,3.550217390060425,3.727735757827759,4.196582794189453,21.397245407104492,encoder_feat,0.15865230560302734,5.0,21.0,4.627235412597656,4.024835586547852,5.576624393463135,7.205652236938477,8.489689826965332,16.630584716796875,0.310546875,0.0,0.46676182746887207,0.6252489686012268,0.6667248010635376,0.15865230560302734,0.5937020182609558,0.646484375
nan,"predictor consumes post-projector emb, not encoder_feat",nan,nan,False,0.93359375,gaussian_std0.08,no_go,5.259500503540039,5.235776901245117,5.667877197265625,6.173462867736816,6.5098876953125,6.99829626083374,17.401123046875,encoder_feat,0.1742146909236908,31.0,194.29995727539062,8.281174659729004,7.107375621795654,9.955896377563477,13.49379825592041,15.361628532409668,30.705303192138672,0.087890625,0.0,0.4677067995071411,0.6245459318161011,0.6699896454811096,0.1742146909236908,0.6373250484466553,0.90625
nan,"predictor consumes post-projector emb, not encoder_feat",nan,nan,False,0.974609375,blur_ks7,no_go,10.093554496765137,10.13105297088623,10.31071662902832,10.452471733093262,10.555808067321777,10.78864574432373,16.906618118286133,encoder_feat,0.15786771476268768,114.0,345.8999938964844,15.845009803771973,13.669612884521484,18.902647018432617,26.090618133544922,28.88125228881836,61.69880676269531,0.03554688021540642,0.0,0.41430556774139404,0.5446435213088989,0.5697752833366394,0.15786771476268768,0.5635789632797241,0.955078125
nan,"predictor consumes post-projector emb, not encoder_feat",nan,nan,False,0.970703125,resize_factor0.5,no_go,9.375680923461914,9.423386573791504,9.58703899383545,9.706588745117188,9.83070182800293,10.097538948059082,16.330469131469727,encoder_feat,0.18520614504814148,95.5,363.8999938964844,14.697284698486328,12.737224578857422,17.58668327331543,24.010604858398438,26.212989807128906,56.954063415527344,0.03671874850988388,0.0,0.43372684717178345,0.5720528364181519,0.6355700492858887,0.18520614504814148,0.5887651443481445,0.95703125
