model_family,training_family_id,training_seed,task,training_rho,behavior_label,rho_privileged_prediction,split_name,protocol_hash,baseline_scope,external_leaderboard_eligible
PLDM,pldm_canonical_seed3072,3072,Reacher,0.07,False,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Reacher,0.08,False,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.0,False,False,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.01,False,False,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.02,False,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.03,True,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.04,True,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.05,True,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.06,True,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.07,False,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
PLDM,pldm_canonical_seed3072,3072,Cube,0.08,True,True,E2,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
